"IP","MAC","Vendor","Port","URL","SYN_Result","TCP_Connect","HTTP_Status","Title","Server","Service"
"192.168.8.1","E0:AE:A2:6E:09:72","Huawei Technologies","80","http://192.168.8.1/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.3","E0:AE:A2:6E:26:55","Huawei Technologies","80","http://192.168.8.3/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.4","E0:AE:A2:6E:45:F1","Huawei Technologies","80","http://192.168.8.4/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.6","E0:AE:A2:6E:23:F1","Huawei Technologies","80","http://192.168.8.6/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.7","E0:AE:A2:6E:1A:72","Huawei Technologies","80","http://192.168.8.7/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.9","E0:AE:A2:6E:40:C3","Huawei Technologies","80","http://192.168.8.9/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.11","E0:AE:A2:6E:31:B0","Huawei Technologies","80","http://192.168.8.11/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.13","E0:AE:A2:6E:1A:2E","Huawei Technologies","80","http://192.168.8.13/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.16","E0:AE:A2:6D:D2:65","Huawei Technologies","80","http://192.168.8.16/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.17","E0:AE:A2:6D:B6:5F","Huawei Technologies","80","http://192.168.8.17/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.19","E0:AE:A2:6E:05:CB","Huawei Technologies","80","http://192.168.8.19/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.20","E0:AE:A2:6E:57:CE","Huawei Technologies","80","http://192.168.8.20/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.21","E0:AE:A2:6D:E6:FB","Huawei Technologies","80","http://192.168.8.21/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.23","E0:AE:A2:6D:C0:EE","Huawei Technologies","80","http://192.168.8.23/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.24","E0:AE:A2:6D:C2:B9","Huawei Technologies","80","http://192.168.8.24/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.26","E0:AE:A2:6E:24:DF","Huawei Technologies","80","http://192.168.8.26/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.28","E0:AE:A2:6E:00:9D","Huawei Technologies","80","http://192.168.8.28/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.30","E0:AE:A2:6E:4B:FC","Huawei Technologies","80","http://192.168.8.30/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.33","E0:AE:A2:6D:E8:82","Huawei Technologies","80","http://192.168.8.33/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.51","E0:AE:A2:6E:33:8C","Huawei Technologies","80","http://192.168.8.51/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.52","E0:AE:A2:6D:F1:F0","Huawei Technologies","80","http://192.168.8.52/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.55","E0:AE:A2:6E:55:59","Huawei Technologies","80","http://192.168.8.55/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.57","E0:AE:A2:6D:BB:27","Huawei Technologies","80","http://192.168.8.57/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.59","E0:AE:A2:6D:B9:3A","Huawei Technologies","80","http://192.168.8.59/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.62","E0:AE:A2:6E:0A:A4","Huawei Technologies","80","http://192.168.8.62/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.63","E0:AE:A2:6E:24:46","Huawei Technologies","80","http://192.168.8.63/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.65","E0:AE:A2:6D:C9:A1","Huawei Technologies","80","http://192.168.8.65/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
"192.168.8.68","E0:AE:A2:6D:EC:A0","Huawei Technologies","80","http://192.168.8.68/","open/tcpwrapped","Failed","Unavailable","Unavailable","Unavailable","tcpwrapped"
